Changed?;Introduction;Introduction_di;
* previously added emotion tag;Welcome back to Dicey Dungeons, the game show|where you're a giant dice, for some reason.||{angry}And the reason is: because I said so!;Bienvenidos otra vez a Dicey Dungeons, el concurso|en el que eres un dado gigante, por alguna extraña razón.||{angry}Y la razón es... ¡porque lo digo yo!;
;Let's take a moment to say thank you to our|generous sponsor, endless misery!;Lo primero es darle las gracias a nuestro|generoso patrocinador, ¡la desgracia eterna!;
;Welcome back to Dicey Dungeons, where you risk it|all to win your heart's desire!;¡Bienvenidos otra vez a Dicey Dungeons, donde se|arriesga todo para lograr los anhelos del corazón!;
* previously added emotion tag;Time for another round of Dicey Dungeons, where|the fun never stops.||{sly}Just like our contestants, who are|trapped here for ever!;Ya es hora de otra ronda de Dicey Dungeons, donde|la diversión nunca para.||{sly}¡Igual que nuestros participantes, que están|atrapados aquí para siempre!;
* previously added emotion tag;Time for another episode of Dicey Dungeons!||{sly}It's the only game show where contestants|can win, or lose, literally anything!;¡Tenemos un nuevo episodio de Dicey Dungeons!||{sly}¡El único concurso en el que los participantes|no pueden ganar ni perder nada... literalmente!;
* previously added emotion tag;Welcome back to the longest-running game show|on Earth, predating humanity by...||{thinking}...I mean, I don't know how long, we didn't have|calendars back then.||{normal}A while! ;Bienvenidos nuevamente al concurso más longevo|de la Tierra que acecha a la humanidad con...||{thinking}... Como decía, no sé cuánto llevamos, antes|no teníamos calendarios.||{normal}¡Un buen tiempo! ;
* previously added emotion tag;Welcome back to Dicey Dungeons!||{sly}Let the good times roll!;¡Bienvenidos una vez más a Dicey Dungeons!||{sly}¡Es hora de echar a rodar la diversión!;
;Time to get moving - a rolling dice gathers no moss!;A mover las aristas... ¡Con movimiento, vivirás más tiempo!;
;It's time to rock and roll!||{thinking}Mostly roll, to be honest, unless our contestant|meets the Bully.;¡Hora de rocanrolear!||La verdad es que se rolea bastante en el concurso...|y el abusón lleva unas buenas rocas.;
* previously added emotion tag;Let's welcome our latest contestant back to|Dicey Dungeons!||{thinking}Tell me, do you remember sunlight?||{sly}Then you're not trying hard enough!  ;¡Démosle otra calurosa bienvenida al|último participante de Dicey Dungeons!||{thinking}Dime, ¿recuerdas la luz del sol?||{sly}¡Eso es que no te estás esforzando!  ;
* previously added emotion tag;Welcome to Dicey Dungeons, where our contestants|will either win their heart's desire...||{sly}...or end up trapped for ever as my minions!||{normal}Which realistically speaking is much more likely.;Bienvenidos a Dicey Dungeons, donde nuestros|participantes conseguirán los anhelos de su corazón...||{sly}... ¡o quedarán atrapados para siempre como mis esbirros!||{normal}Y si somos realistas, es lo más probable.;
* previously added emotion tag;Let's welcome back our latest contestant for|another round!||{sly}Once bitten, dice shy! ;¡Demos la bienvenida a nuestro último participante|para otra ronda!||{sly}¡Doble tirada, doble sufrimiento! ;
* previously added emotion tag;Welcome back to Dicey Dungeons, where our|contestants' wildest dreams just might come true!||{thinking}Have you paid attention to dreams lately,|by the way?||{normal}I don't dream myself, but I'm told they're terrible.;Bienvenidos de nuevo a Dicey Dungeons, ¡donde los|sueños de los participantes podrían cumplirse!||{thinking}Por cierto, ¿os habéis fijado en vuestros|sueños últimamente?||{normal}Yo no sueño, pero me han dicho que son un timo.;
;Hey there, welcome back to Dicey Dungeons,|where victory is theoretically possible!;Saludos y bienvenidos una vez más a Dicey Dungeons,|¡donde se supone que la victoria es posible!;
;It's time for another episode of Dicey Dungeons,|where contestants risk it all in a doomed attempt|to fulfil their pitiful desires!;¡Toca otro episodio de Dicey Dungeons,|donde los participantes lo arriesgan todo en un vano intento|de cumplir sus patéticos deseos!;
* previously added emotion tag;Hey again everyone, and welcome back to|Dicey Dungeons!||{sly}As we say here: there's only so long you can|keep trying when you're clearly bound to fail.;¡Hola a todos de nuevo y bienvenidos a|Dicey Dungeons!||{sly}Como decimos siempre: cuando sabes que|te espera el fracaso, intentarlo tiene un límite.;
* previously added emotion tag;Time for another round - or maybe I should say,|another CUBE!||{sly}Another!||{sly}CUBE!      ;Tenemos otra ronda... o quizá debería decir|¡otro CUBO!||{sly}¡Otro!||{sly}¡CUBO!      ;
* previously added emotion tag;Let's welcome our old friend back to the dungeons!||{thinking}Wait, not friend, the other thing.||{sly}Let's welcome our hapless prisoner|back to the dungeons!;¡Recibimos a nuestro amigo que vuelve a la mazmorra!||{thinking}Espera, nada de amigo, lo contrario.||{sly}¡Recibimos a nuestro desventurado prisionero|que vuelve a la mazmorra!;
* previously added emotion tag;Let's give a big hand to our latest contestant.||{sly}It's great to see you back, now and for ever!;Un gran aplauso para nuestro último participante.||{sly}¡Es una alegría tenerte aquí de vuelta,|ahora y para siempre!;
* previously added emotion tag;Thanks for joining me for another round|of Dicey Dungeons!||{sly}Tonight, let's give a big round of cruelly mocking|laughter for our miserable contestant!;¡Gracias por acompañarme en otra ronda|de Dicey Dungeons!||{sly}¡Esta noche vamos a mofarnos cruelmente|de nuestro lamentable participante!;
;Tonight, on Dicey Dungeons:||we join together to watch an inevitable failure!;Esta noche en Dicey Dungeons:||¡quédate a ver este inevitable fracaso!;
* previously added emotion tag;Welcome back to Dicey Dungeons!||{sly}Remember, if you'd like to be on the show,|just write to us here at the Dungeons.||Don't forget to whisper your most secret hope|into the envelope!;¡Bienvenidos otra vez a Dicey Dungeons!||{sly}Recuerda, si quieres salir en el concurso,|escríbenos una carta a las mazmorras.||¡Y no olvides susurrar dentro del sobre|tu anhelo más secreto!;
* previously added emotion tag;Welcome back, my favourite little fighter!||Are you feeling optimistic? Imagining the deep burr|of that monster truck as you speed over the rubble?;¡Bienvenido, pequeño luchador!||¿Te ves con posibilidades? ¿Te imaginas el motor de tu|monster truck zumbando a toda pastilla?;
* previously added emotion tag;Let's give a big hand for the Warrior, who's|looking great!||{sly}I guess there's always time to work out when|you're trapped in an endless dungeon.;¡Démosle un fuerte aplauso al guerrero,|tiene un aspecto genial!||{sly}Supongo que ya habrá tiempo de verte|cuando te atrape la interminable mazmorra.;
* previously added emotion tag;Let's welcome back the Warrior, who's never gonna|win that monster truck if he doesn't work harder.||{sly}Also, he'll never win that monster truck anyway.;Saludamos nuevamente al guerrero, que no va a|conseguir nunca el monster truck sin esfuerzo.||{sly}Aunque si se esfuerza, tampoco lo ganará.;
* previously added emotion tag;Let's welcome the Warrior back to Dicey Dungeons!||{sly}Some people just don't know when to give up.;¡Saludamos nuevamente al guerrero en Dicey Dungeons!||{sly}Hay gente que no sabe cuándo rendirse.;
;Ah, it's the Warrior, my lovable buffoon!||Let's give him a round of applause!;¡Ah, el guerrero, mi adorable payaso!||¡Démosle la ovación que se merece!;
;Let's give a big hand for the Warrior,|my favourite contestant of all!;¡Un fuerte aplauso para el guerrero,|mi participante favorito entre todos!;
;And now, entering battle again - the Warrior!||Who somehow is still trying! ;Y ahora vuelve a la batalla... ¡nuestro guerrero!||¡Y al parecer no se cansa de intentarlo!;
* previously added emotion tag;Let's give a thunderous round of applause|for the Warrior!||{sly}After all, he used to love thunder,|and he's never gonna hear it again! ;¡Démosle un caluroso aplauso a nuestro guerrero!||{sly}Después de todo, le encantaba el calor humano,|pero nunca volverá a sentirlo. ;
;It's the Thief, back for the latest episode of...|Dicey Dungeons!||Will he fulfill his dream of becoming unimaginably|rich? Probably not, but anything's possible!;¡Es el ladrón que vuelve a este nuevo episodio de...|Dicey Dungeons!||¿Conseguirá su sueño de hacerse inmensamente rico?|¡Lo más probable es que no, pero puede pasar de todo!;
* previously added emotion tag;Let's welcome back my darling little Thief!||{sly}Time to STEAL yourself for another turn|in the dungeons...;¡Damos la bienvenida otra vez a mi encantador ladroncito!||{sly}Vamos a ROBARTE un poco de tiempo|en esta mazmorra, solo una eternidad...;
;Let's give a big hand for my favourite crafty Thief!;¡Un fuerte aplauso para mi favorito, el astuto ladrón!;
;Welcome back, my little would-be winner!||Planning how to spend all that money? Private island,|fancy yacht, new friends to tell you that you're|definitely as clever as you think?;¡Bienvenido, pequeño aspirante!||¿Pensando en cómo gastarte todo ese dinero?|¿Una isla privada, un yate cuqui y amigos nuevos|que te digan que eres tan listo como crees?;
* previously added emotion tag;Let's all give a cheer for the Thief, who's playing to win|wealth and... also more wealth?||{thinking}That's a little unimaginative, but never mind.||{thinking}You know you can wish for whatever you like, right?;Todos a animar al ladrón, que está jugando para ganar|riquezas y... ¿más y más riquezas?||{thinking}Eso es poco imaginativo, pero da igual.||{thinking}Ya sabes que puedes desear lo que quieras.;
;Let's give a big hand to the Thief, who is so strangely|proud of being clever and unpleasant!||Do you think he minds that I'm so much cleverer,|and so many times more unpleasant? ;¡Una fuerte ovación para el ladrón, que curiosamente está|orgulloso de ser listo y antipático!||¿Crees que le afecta que yo sea mucho más lista|y muchísimo más antipática?;
;Time to welcome our Thief back to the dungeons!||I'm getting a bit sick of his sad little face. Come on,|give an extra-huge cheer if you're getting sick of|it as well!  ;¡Hora de recibir nuevamente al ladrón en las mazmorras!||Me estoy cansando de esta carilla triste que tiene. ¡Venga,|dadle una ovación atronadora si a|vosotros también os cansa!;
;Let's give a big mechanical hand for the Robot,|everyone's favourite contestant! ;¡Un fuerte aplauso mecánico para el robot,|el participante favorito de todos!;
* previously added emotion tag;Let's welcome our Robot buddy back to the floor!||{sly}Hey, Robot: I'd like to see you optimise this... ;¡Y nuestro amiguito robótico vuelve al escenario!||{sly}Eh, robot: A ver si puedes optimizarme esta... ;
* previously added emotion tag;Gimme a ZERO!||Gimme a ONE!||What does it spell?||{sly}Robot Fun! ;¡Dame un TRES!||¡Dame un CUATRO!||¿Quién va a ganar?|||{sly}¡Nuestro robot termostato! ;
* previously added emotion tag;Gimme a ONE!||Gimme a ZERO!||What does it spell?||{sly}Robot Hero!;¡Dame un UNO!||¡Dame un DOS!||¿Quién es el mejor?||{sly}¡Nuestro héroe robot!;
;Let's welcome back the Robot, whose dream is to live|without sleep!||C'mon, burn your beds and replace them|with whiteboards, be the best you can be!;¡Damos la bienvenida otra vez al robot, que sueña|con vivir sin dormir!||¡Venga, quemad vuestras camas y cambiarlas por|pizarras interactivas, arriba las máquinas!;
* previously added emotion tag;Gimme a ZERO!||Gimme a ONE!||What does it spell?||{Sly}Encroaching doom and endless regret!;¡Dame un CERO!||¡Dame un UNO!||¿Qué te espera?||{sly}¡Condena inevitable y lamento interminable!;
* previously added emotion tag;Hey, do you all remember the Robot?||{normal}Let's get hyped for its inevitable failure! ;Hola, ¿os acordáis del robot?||{normal}¡Su inevitable fracaso nos tiene en vilo! ;
;Let's welcome back the Robot, who wants a life|without sleep!||I'm sure that extra eight hours a day wouldn't just|get filled with more doubts and desperate attempts|at self-improvement.;¡Recibimos una vez más al robot, que quiere|una vida sin sueño!||Seguro que en esas ocho horas extra al día|podría hacer algo más que dudar de sí mismo|y probar vanos intentos de autosuperación.;
;Let's welcome back the Inventor, my friend,|my favourite!||What will she get up to this time? ;¡Damos la bienvenida a la inventora,|mi querida amiga y mi concursante favorita!||¿Hasta dónde llegará en esta ocasión?;
;Let's give a big hand for the ingenious Inventor,|who sometimes manages to surprise even me!;¡Un gran aplauso para la ingeniosa inventora,|que a veces logra sorprenderme incluso a mí!;
* previously added emotion tag;Let's welcome back my profligate inventor,|so easily distracted.||{sly}But will she also be... easily destructed?;Recibimos nuevamente a la inventora más despilfarradora,| alguien a quien siempre vemos distraída.||{sly}¿Le llevará esa distracción a la... destrucción?;
;Let's welcome back the Inventor, who wants to|understand everything!;¡Damos la bienvenida a la inventora, que quiere|entenderlo todo!;
* previously added emotion tag;Three cheers to my darling Inventor!||{sly}Come on, Inventor! Destroy the rust!||Reimagine the world while you still can!;¡Quiero oír los vítores para mi querida inventora!||{sly}¡Vamos, inventora! ¡No te oxides!||¡Reimagina el mundo mientras puedas!;
;It's time for another episode of hijinks with|the Inventor!||Tell me, Inventor: if you understood everything,|like you want, would you have realised that|entering the Dungeons was a bad idea?;¡Estamos con otro episodio de payasadas con|la inventora!||Dime, amiga: si tuvieras pleno conocimiento,|tal y como quieres, ¿te habrías dado cuenta|de que entrar en las mazmorras fue una mala idea?;
* previously added emotion tag;Let's give a warm hand for our Inventor, who just|might be starting to run out of steam!||{sly}Would you like a suggestion, Inventor?||Here it is: maybe give up.;¡Démosle una calurosa ovación a nuestra inventora, porque|parece que podría estar quedándose sin fuerzas!||{sly}¿Quieres una sugerencia, inventora?||Mira, lo mejor es que te rindas.;
;And now, the moment we've all been waiting for:||the Inventor's upcoming demise!;Y ahora... el momento que todos estábamos esperando:||¡la inminente defunción de la inventora!;
* previously added emotion tag;Let's welcome back the Inventor, and remind her that|the sun still shines above her.||{sly}Even if she'll never see it again.;Recibamos una vez más a la inventora. Le recordamos|que el sol sigue brillando sobre su cabeza.||{sly}Aunque no vaya a verlo nunca más.;
;Put your hands together for the Witch!||Time for another magical adventure!;¡Una ronda de aplausos para la bruja!||¡Es hora de otra aventura mágica!;
* previously added emotion tag;Let's welcome back my wonderful Witch!||{sly}What spell will she cast on us today?;¡Recibimos nuevamente a mi maravillosa bruja!||{sly}¿Con qué hechizo nos conquistará hoy?;
;Let's welcome back my favourite enchanting|adventurer, and the only contestant I follow|on social media - it's the Witch! ;Damos la bienvenida a mi aventurera favorita,|la única concursante a la que sigo|en redes sociales... ¡la encantadora bruja!;
;Let's give a big hand for our wily Witch!||She's playing to win fame and fortune - no, wait, sorry,|no fortune. Just the fame! Great choice!;¡Démosle una gran ovación a nuestra sagaz bruja!||Juega para ganar fama y fortuna... No, espera, qué fallo,|nada de fortuna. ¡Solo por la fama! ¡Gran elección!;
* previously added emotion tag;Remember the Witch?||{normal}Well, she's back, for some reason! ;¿Os acordáis de la bruja?||{normal}¡Pues no sabemos por qué, pero ha vuelto! ;
;Welcome back to the stage my favourite|perennial failure, the Witch!;Recibamos en el escenario una vez más al|fracaso continuo hecho dado: ¡la bruja!;
* previously added emotion tag;Give a big cheer for the Witch,|my favourite little braggart!||Did you know her account is up|to ten thousand followers?||{sly}Well, it was until I had it deleted.;¡Quiero escuchar esa gran ovación para la bruja,|mi fanfarrona favorita!||¿Sabéis que tiene diez mil|seguidores en su cuenta?||{sly}Bueno, los tenía, hasta que se la borré.;
* previously added emotion tag;It's time for another episode with our determined|little Witch!||She's working very hard to defeat the Dungeons|and find fame.||{sly}It's definitely possible that it'll all pay off.;¡Es hora de otro episodio con|nuestra brujilla!||Se está esforzando mucho para superar|las mazmorras y encontrar la fama.||{sly}Lo cierto es que hay una posibilidad de que salga bien.;
;No applause, please. Silence in the hall.|There will be no cheering for traitors.;Nada de aplausos, por favor. Silencio en la sala.|Nada de darle ovaciones a un traidor.;
;Hey everyone! Let's all welcome back the|Jester with a long, silent stare!;¡Hola a todos! ¡Recibamos nuevamente al|bufón mirándolo fijamente en silencio!;
;Well it's time to welcome the Jester, who has|sacrificed a high-ranking position in my dungeons|for an extremely doomed escape attempt!||Fine, I guess!;¡Bueno, es hora de darle la bienvenida al bufón,|que ha sacrificado un buen puesto en mis mazmorras|por un inútil intento de huida!||¡Pues nada, todo bien!;
;Let's give a loud, slow clap for the Jester, who is|going to be *so* filled with regret.;Vamos a darle un aplauso fuerte y lento al bufón, porque|se va a arrepentir muchísimo.;
* previously added emotion tag;Oh look, it's the Jester!||{sly}Hey there, Jester buddy.||{sly}This isn't going to go well for you.;¡Anda, mira, si es el bufón!||{sly}¿Cómo andas, bufoncillo?||{sly}No te espera nada bueno.;
;It's time to welcome back a|treacherous wretch of a Jester!||Join me in quietly watching|their rapid and inevitable failure.;¡Le damos la bienvenida al|bufón, un despojo traicionero!||Vamos a ver en completo silencio|su rápido e inevitable fracaso.;
* previously added emotion tag;Join us for another round of fun and failure|with the Jester!||{confused}As long-time viewers may recall, the Jester wasn't|always a hideous blight on all that is good and true.||But times change!;¡Nos espera otra ronda de diversión y fracaso|con el bufón!||{confused}Como recordarán nuestros acérrimos fans, el bufón|no siempre fue un completo desastre para estas cosas.||¡Pero los tiempos cambian!;
* previously added emotion tag;Let's silently welcome back the Jester.||{thinking}I wonder how it feels for them to fight the brave|dungeon creatures who for so long were their|friends and allies? ;Demos una silenciosa bienvenida al bufón.||{thinking}Me pregunto qué siente al luchar contra|las valientes criaturas de la mazmorra que antaño fueron|amigos y aliados... ;
* previously added emotion tag;Ah, it's the Jester, ready to play again!||And again.||And again.||{angry}There will be no end to this, Jester, not for you.;¡Vaya, si es el bufón, listo para jugar otra vez!||Y otra.||Y otra.||{angry}Esto no terminará nunca para ti, bufón. Jamás.;
;Let's give a big round of disappointed|sighs for the Jester!;¡Que el bufón escuche todos nuestros|suspiros de decepción!;
* previously added emotion tag;Welcome back to Dicey Dungeons!||{sly}And here's today's contestant, who I guess|we've met before, but who even knows.||{sly}Such an unmemorable little face,|such horrible grabby hands.;¡Bienvenidos un día más a Dicey Dungeons!||{sly}Y aquí tenemos al participante de hoy...|supongo que lo hemos visto antes, pero quién sabe.|||{sly}Con esa carilla tan olvidable|y esas manazas horribles...;
* previously added emotion tag;Let's welcome back to the Dicey Dungeons stage...||{confused}oh, it's you.||{confused}Go fight some monsters, you|grotesque dice-worm.;Hoy vuelve al escenario de Dicey Dungeons...||{confused}Ah, eres tú.||{confused}Ve a luchar contra los monstruos,|pedazo de dado inmundo.;
* previously added emotion tag;I remember when the Jester entered the Dungeons,|a long long time ago.||{thinking}I should have sensed then this moment of betrayal.||{angry}Still, I'll make up with vindictive fury what I lacked|in foresight!;Recuerdo cuando el bufón vino a las mazmorras,|hace mucho tiempo.||{thinking}Debería haber presentido esta traición.||{confused}Pero bueno, ¡compensaré con furia vengadora|lo que no pude presagiar!;
*** new for post endgame;Please welcome our returning champion to|the Dungeons! It's just like old times...;***;
*** new for post endgame;Welcome back! It's SO good to see you!||How's the world outside?||We're simply DELIGHTED to have you back to|catch up with, and also viciously fight,|your old minion buddies!;***;
*** new for post endgame;It's time for another ALL STARS ROUND of|Dicey Dungeons, with one of the only|champions we've ever had...;***;
*** new for post endgame;Let's put our hands together for a familiar|face, as one of our favourite little dice|re-enters the Dungeons!;***;
*** new for post endgame;Okay everyone, on your feet and give a big|cheer - it's Dungeon time again for one of|our favourite little fighters!;***;
*** new for post endgame;This time it's a competitor who escaped once,|but couldn't resist the lure of the Dungeons|for long!||Let's give it up for the return of one of|our reigning champions!;***;
*** new for post endgame;A champion returns! But are you fighting fit|or battle weary?||Time to find out as you revisit Diceyyyyy Dungeonssss!;***;
*** new for post endgame;Don't change the channel!|This is not a rerun!||Our champ really has come back for another|trip through the Dungeons!;***;
*** new for post endgame;Let's welcome back a PREVIOUS WINNER|to the Dungeons!||We all know how rare it is for anyone to make it|through the Dungeons, so let's give our friend|an EXTRA BIG hand!;***;
*** new for post endgame;Let's all give a big cheer for the Warrior, who|just can't get enough battling!;***;
*** new for post endgame;Time to see if the Warrior's new gym schedule has|paid off as he squares off against familiar faces in|the Dungeon!;***;
*** new for post endgame;Let's conjure up some applause for the Witch.||She's taken a break from her busy schedule|and is ready to show off the spellcasting|that made her famous!;***;
*** new for post endgame;As if by magic, the Witch is back for more|subterranean chicanery!||{sly}Wonderful to have you back in|the Dungeons, my dear!;***;
*** new for post endgame;Stamp your feet and wave your hands for the|Robot, here to roll through the Dungeons one|more time!;***;
*** new for post endgame;The Robot returns! Let's hope it can beep and|boop its way through the Dungeons as beautifully|as last time!;***;
*** new for post endgame;Let's give a big hand for our old friend the Jester!||{thinking}Jess, love, do you remember where you left the|keys to the filing cabinet in the back office?;***;
*** new for post endgame;Let's give the Jester a very warm welcome as|they return to their old haunts!||It's so nice to see you come and hang out|with your old friends so often!;***;
*** new for post endgame;Time to welcome back to the stage our|intrepid Inventor!||{sly}Now, my dear, don't let me catch you sneaking|around trying to look at the lighting panel again...;***;
*** new for post endgame;Let's give a huge round of applause for the Inventor!||It's lovely to see you again and...||{sly}WAIT! Is that the wiring from the cafeteria?;***;
*** new for post endgame;Welcome back to Dicey Dungeons!||Today we'll be watching a rerun of an|old fan favourite...||...the one where the dice buddies got together with|all the minions, and worked together to beat me!||I'm so proud I think I might be crying!;***;
